1 1205
К кому из этих  политиков, руководителей, общественных деятелей Вы относитесь положительно, с доверием, а к кому отрицательно – с недоверием?
1
4
1
Положительно
2
Отрицательно
3
Не знает кандидата
99
Затрудняюсь ответить
3	3	3	3	99	2
3	3	3	3	99	1
1	1	1	1	1	1
2	2	2	1	1	2
3	3	3	2	2	2
2	2	1	2	2	1
3	3	3	1	1	1
3	3	3	2	2	1
3	3	3	1	1	1
3	3	3	1	1	1
3	3	3	3	3	2
99	3	3	99	3	1
3	3	3	3	3	99
3	3	3	3	2	1
99	99	99	99	99	1
2	3	2	2	2	1
3	99	3	99	2	1
2	2	2	1	1	1
3	3	3	99	2	1
3	3	3	3	3	1
2	2	2	2	2	1
3	3	3	3	2	1
3	3	3	3	3	99
3	3	3	99	99	99
3	3	3	2	2	1
3	3	3	3	3	1
3	3	3	2	2	1
99	99	3	99	1	1
3	3	99	99	99	1
3	3	3	3	3	99
3	3	99	99	3	99
3	3	3	2	3	2
3	3	3	99	2	1
3	3	3	3	99	99
1	3	3	3	2	2
3	1	1	2	2	1
2	2	2	1	2	1
3	3	3	3	2	1
3	99	3	1	99	1
3	3	3	3	3	3
2	3	3	3	2	2
3	3	3	2	2	2
99	3	3	99	99	99
3	99	99	99	1	1
3	3	3	3	3	3
3	3	3	3	3	1
3	99	99	99	99	99
2	3	2	2	3	1
3	99	3	3	3	1
3	3	3	3	2	1
3	99	3	1	99	1
3	3	3	3	99	99
3	3	3	3	3	99
3	3	99	99	3	1
3	3	3	99	2	99
3	3	3	3	99	1
2	2	3	3	2	2
3	3	1	2	2	2
3	3	2	2	1	1
99	3	3	99	2	1
2	2	2	2	2	1
99	3	3	3	3	1
3	3	3	99	99	1
3	3	3	3	3	99
3	3	3	2	2	1
3	3	1	1	2	1
2	2	2	2	2	1
3	3	3	3	3	1
1	3	3	2	2	1
3	2	3	3	3	2
99	3	3	99	3	1
2	2	2	2	2	1
2	2	2	3	2	1
3	3	3	2	2	1
3	3	3	3	3	1
3	99	3	99	99	1
99	3	99	99	99	99
99	3	3	1	1	2
3	99	99	99	99	1
99	99	99	99	99	1
3	3	3	2	2	99
3	3	3	99	3	99
3	3	99	3	2	1
3	3	3	2	2	2
3	3	3	3	1	1
3	2	2	2	1	1
3	3	3	3	1	1
3	3	99	99	99	99
3	3	3	99	99	99
3	2	3	3	3	1
